,possessionTeam,defensiveTeam,yardlineSide,passResult,offenseFormation,personnelO,personnelD,dropBackType,pff_passCoverage,pff_passCoverageType
0,TB,DAL,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
2,DAL,TB,DAL,C,SHOTGUN,"0 RB, 2 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
3,DAL,TB,TB,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-3,Zone
4,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-3,Zone
5,TB,DAL,TB,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
6,TB,DAL,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
7,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
8,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
9,TB,DAL,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
10,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
11,TB,DAL,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
12,DAL,TB,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-1,Man
13,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",SCRAMBLE_ROLLOUT_RIGHT,Cover-2,Zone
14,DAL,TB,TB,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,Quarters,Zone
15,DAL,TB,TB,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-1,Man
16,TB,DAL,TB,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
17,TB,DAL,DAL,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
18,TB,DAL,DAL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
19,DAL,TB,DAL,C,SHOTGUN,"1 RB, 0 TE, 4 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
20,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
21,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,2-Man,Man
22,TB,DAL,DAL,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
23,TB,DAL,DAL,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,Cover-1,Man
24,DAL,TB,DAL,C,SINGLEBACK,"2 RB, 1 TE, 2 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
25,DAL,TB,DAL,I,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",UNKNOWN,Cover-1,Man
26,DAL,TB,TB,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",SCRAMBLE_ROLLOUT_RIGHT,Cover-3,Zone
27,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Cover-3,Zone
28,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
29,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-1,Man
30,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-3,Zone
31,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-0,Man
32,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-0,Man
33,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
34,DAL,TB,TB,I,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
35,TB,DAL,TB,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
36,TB,DAL,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,2-Man,Man
37,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
