,quarter,down,yardsToGo,yardlineNumber,preSnapHomeScore,preSnapVisitorScore,penaltyYards,prePenaltyPlayResult,playResult,absoluteYardlineNumber,defendersInBox,pff_playAction,Inj_Occured,foul_on_play,frac_quarter_elapsed
0,1,3,2,33,0,0,0.0,0,0,43.0,6.0,0,0,0,0.09999999999999998
2,1,2,6,34,0,0,0.0,5,5,76.0,6.0,0,0,0,0.17000000000000004
3,1,1,10,39,0,0,0.0,0,0,49.0,6.0,1,0,0,0.33999999999999997
4,1,3,15,44,0,0,0.0,0,0,54.0,7.0,0,0,0,0.35
5,1,2,5,11,0,0,0.0,10,10,21.0,6.0,0,0,0,0.41000000000000003
6,1,1,10,21,0,0,0.0,0,0,31.0,6.0,0,0,0,0.43999999999999995
7,1,2,10,21,0,0,0.0,19,19,31.0,6.0,0,0,0,0.43999999999999995
8,1,1,10,40,0,0,0.0,28,28,50.0,6.0,0,0,0,0.47
9,1,1,10,32,0,0,0.0,16,16,78.0,6.0,0,0,0,0.5
10,1,2,7,13,0,0,0.0,8,8,97.0,7.0,0,0,0,0.5900000000000001
11,1,1,5,5,0,0,0.0,5,5,105.0,7.0,1,0,0,0.64
12,1,2,2,44,7,0,0.0,12,12,66.0,7.0,0,0,0,0.72
13,1,2,3,37,7,0,0.0,8,8,47.0,6.0,1,0,0,0.8200000000000001
14,1,1,10,29,7,0,0.0,7,7,39.0,6.0,1,0,0,0.84
15,1,2,3,22,7,0,0.0,22,22,32.0,6.0,0,1,0,0.89
16,1,2,7,28,7,7,0.0,27,27,38.0,6.0,1,0,1,0.9299999999999999
17,1,2,5,40,7,7,0.0,0,0,70.0,7.0,0,0,0,0.99
18,1,3,5,40,7,7,0.0,0,0,70.0,5.0,0,0,0,0.99
19,2,2,8,7,7,7,0.0,5,5,17.0,5.0,0,0,0,0.040000000000000036
20,2,2,8,48,7,7,0.0,5,5,58.0,6.0,0,0,0,0.18999999999999995
21,2,3,3,43,7,7,0.0,19,19,53.0,5.0,0,0,1,0.22999999999999998
22,2,1,10,24,7,7,0.0,17,17,34.0,7.0,1,0,0,0.25
23,2,2,2,2,7,7,0.0,2,2,12.0,7.0,1,0,0,0.33999999999999997
24,2,1,10,25,14,7,0.0,22,22,35.0,7.0,1,0,0,0.35
25,2,1,10,47,14,7,14.0,0,14,57.0,6.0,0,0,1,0.39
26,2,1,10,39,14,7,0.0,6,6,71.0,7.0,1,0,0,0.4
27,2,1,10,25,14,7,5.0,0,5,85.0,7.0,1,0,1,0.44999999999999996
28,2,2,7,17,14,7,0.0,4,4,93.0,7.0,0,0,0,0.5
29,2,3,3,13,14,7,0.0,0,0,97.0,6.0,0,0,0,0.55
30,2,2,8,25,14,7,0.0,0,0,85.0,7.0,0,0,0,0.62
31,2,3,8,25,14,7,0.0,13,13,85.0,6.0,0,0,0,0.63
32,2,2,3,5,14,7,0.0,5,5,105.0,7.0,0,0,0,0.71
33,2,2,6,17,14,13,0.0,0,0,93.0,6.0,0,0,0,0.77
34,2,3,6,17,14,13,0.0,0,0,93.0,5.0,0,0,0,0.77
35,2,1,10,43,14,16,0.0,10,10,67.0,4.0,0,0,0,0.79
36,2,1,10,47,14,16,0.0,47,47,57.0,6.0,0,0,0,0.8200000000000001
37,2,1,10,25,21,16,0.0,11,11,35.0,6.0,0,0,0,0.8200000000000001
38,2,1,10,36,21,16,26.0,8,11,46.0,6.0,0,0,1,0.87
39,2,1,10,38,21,16,0.0,7,7,72.0,6.0,0,0,0,0.87
40,2,2,3,31,21,16,0.0,0,0,79.0,6.0,0,0,0,0.88
41,2,3,3,31,21,16,0.0,10,10,79.0,7.0,0,0,0,0.89
42,2,1,10,21,21,16,0.0,0,0,89.0,6.0,0,0,0,0.92
43,2,2,10,21,21,16,0.0,-12,-12,89.0,6.0,0,0,0,0.92
44,2,3,22,33,21,16,-10.0,4,-10,77.0,6.0,0,0,1,0.96
45,2,3,32,43,21,16,0.0,1,1,67.0,5.0,0,1,0,0.97
46,2,1,10,50,21,16,0.0,0,0,60.0,6.0,0,0,0,0.98
47,2,2,10,50,21,16,0.0,0,0,60.0,4.0,0,0,0,0.99
48,2,3,10,50,21,16,0.0,0,0,60.0,4.0,0,0,0,0.99
49,3,2,10,25,21,16,0.0,5,5,35.0,6.0,0,1,0,0.0
50,3,3,5,30,21,16,0.0,16,16,40.0,7.0,0,0,0,0.040000000000000036
51,3,3,4,48,21,16,0.0,14,14,62.0,6.0,0,0,0,0.15000000000000002
52,3,1,10,34,21,16,0.0,0,0,76.0,7.0,0,0,0,0.18000000000000005
53,3,2,10,34,21,16,16.0,0,16,76.0,6.0,0,0,1,0.18999999999999995
54,3,2,4,12,21,16,0.0,4,4,98.0,7.0,0,0,0,0.24
55,3,2,5,5,21,16,0.0,3,3,105.0,8.0,1,0,0,0.30000000000000004
56,3,1,10,33,21,19,0.0,0,0,77.0,4.0,0,0,0,0.39
57,3,2,10,33,21,19,0.0,0,0,77.0,6.0,0,0,0,0.4
58,3,3,10,33,21,19,0.0,0,0,77.0,5.0,0,0,1,0.4
59,3,1,10,25,21,19,10.0,0,0,35.0,7.0,0,0,1,0.42000000000000004
60,3,1,10,35,21,19,0.0,20,20,45.0,5.0,0,0,0,0.43000000000000005
61,3,2,8,13,21,19,0.0,2,2,23.0,7.0,0,0,0,0.52
62,3,3,6,11,21,19,0.0,11,11,21.0,6.0,0,0,0,0.5700000000000001
63,3,1,10,38,28,19,0.0,7,7,48.0,6.0,0,0,0,0.6
64,3,1,10,48,28,19,0.0,10,10,58.0,6.0,0,0,0,0.6799999999999999
65,3,2,10,42,28,19,0.0,9,9,68.0,6.0,0,0,0,0.77
66,3,3,1,33,28,19,0.0,6,6,77.0,8.0,1,0,0,0.8200000000000001
67,3,1,10,27,28,19,0.0,2,2,83.0,6.0,0,0,0,0.86
68,3,3,4,21,28,19,0.0,21,21,89.0,7.0,0,0,0,0.96
69,3,1,10,25,28,26,0.0,10,10,85.0,6.0,0,0,0,0.96
70,4,3,2,48,28,26,0.0,5,5,58.0,7.0,0,0,0,0.08999999999999997
71,4,2,10,47,28,26,0.0,0,0,63.0,5.0,0,0,0,0.18999999999999995
72,4,3,10,47,28,26,0.0,0,0,63.0,7.0,0,0,0,0.18999999999999995
73,4,2,8,8,28,26,0.0,0,0,102.0,6.0,0,0,0,0.25
74,4,3,8,8,28,26,0.0,0,0,102.0,6.0,0,0,0,0.26
75,4,1,10,37,28,26,0.0,7,7,47.0,6.0,0,0,0,0.27
76,4,2,4,41,28,26,0.0,7,7,69.0,7.0,0,0,0,0.4
77,4,1,15,39,28,26,0.0,9,9,71.0,5.0,0,0,0,0.45999999999999996
78,4,2,6,30,28,26,0.0,7,7,80.0,6.0,0,0,0,0.51
79,4,1,10,23,28,26,0.0,3,3,87.0,6.0,1,0,0,0.54
80,4,2,9,11,28,26,0.0,3,3,99.0,7.0,0,0,0,0.72
81,4,3,1,19,28,26,0.0,6,6,91.0,6.0,0,0,0,0.76
82,4,1,10,36,28,26,0.0,0,0,74.0,7.0,0,0,0,0.84
83,4,2,10,36,28,26,-10.0,23,-10,74.0,7.0,0,0,1,0.84
84,4,2,20,26,28,26,0.0,9,9,84.0,6.0,0,0,0,0.85
85,4,3,11,35,28,26,0.0,31,31,75.0,5.0,0,0,0,0.87
86,4,3,6,30,28,26,-10.0,0,-10,40.0,6.0,0,0,1,0.89
87,4,3,16,40,28,26,0.0,10,10,50.0,6.0,0,0,0,0.89
88,4,2,2,33,28,29,0.0,0,0,43.0,6.0,0,0,0,0.91
89,4,3,2,33,28,29,0.0,4,4,43.0,5.0,0,0,0,0.92
90,4,1,15,32,28,29,0.0,6,6,42.0,5.0,0,0,0,0.94
91,4,2,9,38,28,29,0.0,20,20,48.0,7.0,0,0,0,0.95
92,4,1,10,42,28,29,0.0,0,0,68.0,6.0,0,0,0,0.97
93,4,2,10,42,28,29,0.0,24,24,68.0,5.0,0,0,0,0.97
94,4,1,10,18,28,29,0.0,0,0,92.0,6.0,0,0,0,0.98
95,4,2,10,18,28,29,0.0,0,0,92.0,5.0,0,0,0,0.98
96,4,3,10,18,28,29,0.0,0,0,92.0,7.0,0,0,0,0.99
