,Season_Year,Week,Temperature,Quarter,Inj_Occured,home_score,away_score,frac_quarter_elapsed,yardline_100
0,2016,2,79.0,1,0,7,0,0.17000000000000004,47
1,2016,2,79.0,2,0,21,7,0.18999999999999995,29
2,2016,2,79.0,2,0,21,7,0.32999999999999996,18
3,2016,2,79.0,2,0,24,7,0.98,54
4,2016,2,79.0,3,0,24,14,0.30000000000000004,15
5,2016,2,79.0,3,0,24,14,0.4,50
6,2016,2,79.0,3,0,24,14,0.97,38
7,2016,2,79.0,4,0,24,14,0.09999999999999998,59
8,2016,2,79.0,4,0,24,21,0.64,15
9,2016,2,94.0,1,0,3,0,0.55,32
10,2016,2,94.0,2,0,10,7,0.61,60
11,2016,2,94.0,2,0,10,7,0.81,34
12,2016,2,94.0,2,0,10,7,0.88,7
13,2016,2,94.0,3,0,13,22,0.5900000000000001,49
14,2016,2,94.0,4,0,19,22,0.87,9
15,2016,2,73.0,1,0,0,0,0.36,53
16,2016,2,73.0,1,0,0,0,0.43000000000000005,61
17,2016,2,73.0,1,0,2,3,0.87,33
18,2016,2,73.0,2,0,2,3,0.050000000000000044,50
19,2016,2,73.0,2,0,5,3,0.69,35
20,2016,2,73.0,2,0,5,3,0.81,19
21,2016,2,73.0,3,0,5,13,0.6699999999999999,50
22,2016,2,73.0,3,0,5,13,0.77,1
23,2016,2,73.0,4,0,11,15,0.42000000000000004,24
24,2016,2,73.0,4,0,11,15,0.5900000000000001,8
25,2016,2,73.0,4,0,11,15,0.84,59
26,2016,2,88.0,1,0,7,0,0.53,49
27,2016,2,88.0,1,0,7,0,0.77,34
28,2016,2,88.0,1,0,7,0,0.88,31
29,2016,2,88.0,1,0,7,0,0.99,12
30,2016,2,88.0,2,0,10,0,0.21999999999999997,20
31,2016,2,88.0,2,0,10,0,0.31000000000000005,41
32,2016,2,88.0,2,0,19,0,0.87,16
33,2016,2,88.0,3,0,20,0,0.10999999999999999,28
34,2016,2,88.0,3,0,20,0,0.25,45
35,2016,2,88.0,3,0,22,0,0.75,31
36,2016,2,88.0,3,0,22,0,0.98,44
37,2016,2,88.0,4,0,22,0,0.18000000000000005,46
38,2016,2,88.0,4,0,22,0,0.56,55
39,2016,2,88.0,4,0,22,0,0.76,41
40,2016,2,82.0,1,0,0,0,0.13,19
41,2016,2,82.0,1,0,0,0,0.65,31
42,2016,2,82.0,1,0,0,0,0.6599999999999999,26
43,2016,2,82.0,1,0,0,0,0.9299999999999999,44
44,2016,2,82.0,2,0,0,0,0.0,15
45,2016,2,82.0,3,0,13,14,0.22999999999999998,47
46,2016,2,82.0,3,0,13,14,0.4,10
47,2016,2,82.0,4,0,24,17,0.19999999999999996,31
48,2016,2,82.0,4,0,30,17,0.74,27
49,2016,2,82.0,4,0,30,17,0.85,31
50,2016,2,82.0,4,0,30,17,0.98,19
51,2016,2,84.0,1,0,0,0,0.050000000000000044,24
52,2016,2,84.0,1,0,0,0,0.15000000000000002,52
53,2016,2,84.0,1,0,7,7,0.6599999999999999,30
54,2016,2,84.0,2,0,7,10,0.8,46
55,2016,2,84.0,2,0,7,10,0.92,36
56,2016,2,84.0,2,0,7,10,0.95,5
57,2016,2,84.0,3,0,7,13,0.08999999999999997,28
58,2016,2,84.0,3,0,7,13,0.18999999999999995,32
59,2016,2,84.0,3,0,10,13,0.6,21
60,2016,2,84.0,3,0,17,13,0.8200000000000001,32
61,2016,2,84.0,3,0,17,13,0.98,29
62,2016,2,84.0,4,0,17,13,0.09999999999999998,46
63,2016,2,84.0,4,0,24,13,0.74,37
64,2016,2,84.0,4,0,24,13,0.77,19
65,2016,2,84.0,1,0,0,0,0.18999999999999995,34
66,2016,2,84.0,1,0,0,0,0.38,40
67,2016,2,84.0,1,0,0,2,0.43000000000000005,17
68,2016,2,84.0,1,0,0,9,0.85,37
69,2016,2,84.0,1,0,0,9,0.96,15
70,2016,2,84.0,2,0,0,9,0.050000000000000044,20
71,2016,2,84.0,2,0,0,9,0.18999999999999995,28
72,2016,2,84.0,2,0,0,9,0.26,34
73,2016,2,84.0,2,0,0,9,0.4,47
74,2016,2,84.0,2,0,0,9,0.65,35
75,2016,2,84.0,2,0,0,9,0.72,24
76,2016,2,84.0,2,0,6,9,0.9299999999999999,16
77,2016,2,84.0,3,0,9,12,0.38,30
78,2016,2,84.0,3,0,9,12,0.69,58
79,2016,2,84.0,3,0,9,12,0.9299999999999999,34
80,2016,2,84.0,4,0,16,12,0.44999999999999996,36
81,2016,2,84.0,4,0,16,12,0.71,59
82,2016,2,94.0,1,0,3,0,0.65,57
83,2016,2,94.0,2,0,10,7,0.27,54
84,2016,2,94.0,2,0,10,7,0.33999999999999997,49
85,2016,2,94.0,2,0,10,7,0.43999999999999995,19
86,2016,2,94.0,2,0,10,7,0.73,56
87,2016,2,94.0,2,0,10,7,0.79,28
88,2016,2,94.0,3,0,13,17,0.53,33
89,2016,2,94.0,4,0,13,17,0.0,46
90,2016,2,94.0,4,0,13,17,0.18999999999999995,39
91,2016,2,94.0,4,0,13,17,0.43999999999999995,33
92,2016,2,94.0,4,0,13,17,0.74,51
93,2016,2,94.0,4,0,13,17,0.81,22
94,2016,2,94.0,4,0,13,17,0.84,28
95,2016,2,94.0,4,0,13,17,0.88,33
96,2016,2,76.0,1,0,0,7,0.44999999999999996,30
97,2016,2,76.0,1,0,0,7,0.5800000000000001,47
98,2016,2,76.0,1,0,0,7,0.69,7
99,2016,2,76.0,1,0,0,7,0.8,46
100,2016,2,76.0,2,0,0,10,0.06000000000000005,18
101,2016,2,76.0,2,0,0,10,0.19999999999999996,37
102,2016,2,76.0,2,0,0,10,0.29000000000000004,41
103,2016,2,76.0,3,0,17,10,0.31000000000000005,58
104,2016,2,76.0,3,0,17,10,0.42000000000000004,20
105,2016,2,76.0,3,0,20,10,0.96,27
106,2016,2,76.0,4,0,20,10,0.15000000000000002,56
107,2016,2,76.0,4,0,27,10,0.5700000000000001,31
108,2016,2,76.0,4,0,27,10,0.6599999999999999,38
109,2016,2,76.0,4,0,27,10,0.76,23
110,2016,2,86.0,1,0,0,0,0.32999999999999996,39
111,2016,2,86.0,2,0,7,0,0.7,33
112,2016,2,86.0,2,0,7,0,0.8200000000000001,36
113,2016,2,86.0,2,0,7,0,0.84,31
114,2016,2,86.0,3,0,10,7,0.21999999999999997,53
115,2016,2,86.0,3,0,10,7,0.49,36
116,2016,2,86.0,4,0,17,7,0.16000000000000003,57
117,2016,2,86.0,4,0,17,7,0.45999999999999996,51
118,2016,2,86.0,4,0,17,16,0.79,19
119,2016,2,86.0,4,0,17,16,0.87,34
120,2016,2,84.0,1,0,0,0,0.18000000000000005,28
121,2016,2,84.0,1,0,0,8,0.4,46
122,2016,2,84.0,1,0,0,8,0.44999999999999996,15
123,2016,2,84.0,1,0,8,8,0.79,48
124,2016,2,84.0,2,1,16,14,0.21999999999999997,17
125,2016,2,84.0,2,0,16,17,0.76,29
126,2016,2,84.0,3,0,16,17,0.12,45
127,2016,2,84.0,3,0,16,24,0.65,30
128,2016,2,84.0,3,0,16,24,0.71,44
129,2016,2,84.0,4,0,22,24,0.16000000000000003,24
130,2016,2,84.0,4,0,22,34,0.81,29
131,2016,2,84.0,4,0,22,34,0.96,30
132,2016,2,64.5,1,0,0,0,0.18000000000000005,41
133,2016,2,64.5,1,0,3,3,0.74,27
134,2016,2,64.5,1,0,3,3,0.9,39
135,2016,2,64.5,2,0,17,10,0.28,25
136,2016,2,64.5,2,0,17,10,0.35,24
137,2016,2,64.5,2,0,17,10,0.86,28
138,2016,2,64.5,2,0,17,10,0.96,57
139,2016,2,64.5,3,0,17,10,0.43000000000000005,35
140,2016,2,64.5,3,0,17,10,0.79,58
141,2016,2,64.5,3,0,24,10,1.0,35
142,2016,2,64.5,4,0,24,10,0.08999999999999997,35
143,2016,2,64.5,4,0,24,10,0.12,26
144,2016,2,64.5,4,0,24,10,0.33999999999999997,58
145,2016,2,64.5,4,0,24,10,0.43999999999999995,21
146,2016,2,64.5,4,0,24,10,0.54,33
147,2016,2,83.0,1,0,7,3,0.62,32
148,2016,2,83.0,1,0,7,3,0.87,49
149,2016,2,83.0,2,0,7,10,0.09999999999999998,30
150,2016,2,83.0,2,0,10,17,0.91,64
151,2016,2,83.0,2,0,10,17,0.94,9
152,2016,2,83.0,3,0,10,17,0.21999999999999997,33
153,2016,2,83.0,3,0,10,17,0.22999999999999998,38
154,2016,2,83.0,3,0,10,17,0.48,30
155,2016,2,83.0,3,0,10,17,0.74,28
156,2016,2,83.0,4,0,10,27,0.87,61
157,2016,2,87.0,1,0,0,7,0.6799999999999999,18
158,2016,2,87.0,2,0,3,10,0.43999999999999995,14
159,2016,2,87.0,2,0,3,13,0.6799999999999999,26
160,2016,2,87.0,2,0,3,13,0.79,23
161,2016,2,87.0,3,0,6,16,0.78,38
162,2016,2,87.0,3,0,6,16,0.91,25
163,2016,2,87.0,4,0,6,16,0.14,42
164,2016,2,87.0,4,0,6,16,0.47,49
165,2016,2,87.0,4,0,6,16,0.61,39
166,2016,2,87.0,4,0,9,16,0.92,43
167,2016,2,91.0,1,0,0,7,0.17000000000000004,34
168,2016,2,91.0,1,0,0,7,0.25,43
169,2016,2,91.0,1,0,6,14,0.7,41
170,2016,2,91.0,1,0,6,14,0.88,48
171,2016,2,91.0,2,0,6,14,0.0,6
172,2016,2,91.0,2,0,6,14,0.06000000000000005,44
173,2016,2,91.0,2,0,6,14,0.21999999999999997,14
174,2016,2,91.0,2,0,6,14,0.35,33
175,2016,2,91.0,2,0,6,14,0.51,23
176,2016,2,91.0,2,0,6,14,0.77,24
177,2016,2,91.0,2,0,6,14,0.98,54
178,2016,2,91.0,3,0,6,14,0.14,34
179,2016,2,91.0,3,0,6,14,0.35,50
180,2016,2,91.0,3,0,6,14,0.8200000000000001,29
181,2016,2,91.0,3,0,6,14,0.99,44
182,2016,2,91.0,4,0,9,17,0.73,41
183,2016,2,91.0,4,0,9,17,0.79,29
184,2016,2,64.5,1,0,0,0,0.32999999999999996,43
185,2016,2,64.5,1,0,0,0,0.4,4
186,2016,2,64.5,1,0,3,0,0.63,24
187,2016,2,64.5,1,0,3,0,0.79,37
188,2016,2,64.5,2,0,3,3,0.38,37
189,2016,2,64.5,2,0,3,10,0.62,36
190,2016,2,64.5,3,0,3,20,0.22999999999999998,24
191,2016,2,64.5,3,0,10,23,0.83,59
192,2016,2,64.5,3,0,10,23,0.83,54
193,2016,2,64.5,3,0,10,23,0.97,29
194,2016,2,64.5,4,0,17,23,0.51,37
195,2016,2,64.5,4,0,17,23,0.6699999999999999,9
196,2016,3,75.0,1,0,0,0,0.06000000000000005,23
197,2016,3,75.0,1,0,0,0,0.15000000000000002,47
198,2016,3,75.0,1,0,0,0,0.18999999999999995,42
199,2016,3,75.0,1,0,0,7,0.49,34
200,2016,3,75.0,1,0,0,7,0.6799999999999999,31
201,2016,3,75.0,2,0,0,10,0.050000000000000044,31
202,2016,3,75.0,2,0,0,13,0.74,43
203,2016,3,75.0,3,0,0,19,0.89,42
204,2016,3,75.0,4,0,0,19,0.030000000000000027,26
205,2016,3,75.0,4,0,0,19,0.35,45
206,2016,3,79.0,1,0,0,0,0.06000000000000005,10
207,2016,3,79.0,1,1,7,7,0.62,39
208,2016,3,79.0,1,0,7,7,0.84,20
209,2016,3,79.0,2,0,7,13,0.33999999999999997,43
