iter	Passed	Remaining
0	1	1184
1	3	1813
2	5	1987
3	9	2309
4	11	2373
5	14	2464
6	16	2388
7	19	2414
8	21	2342
9	23	2316
10	25	2273
11	27	2266
12	29	2241
13	31	2234
14	34	2262
15	36	2256
16	38	2232
17	40	2223
18	43	2222
19	45	2253
20	47	2230
21	49	2183
22	51	2171
23	53	2158
24	55	2169
25	57	2147
26	59	2134
27	61	2118
28	62	2092
29	65	2105
30	67	2096
31	68	2082
32	70	2072
33	73	2079
34	74	2066
35	76	2040
36	77	2010
37	80	2042
38	82	2037
39	85	2047
40	86	2032
41	88	2024
42	90	2023
43	93	2034
44	96	2045
45	98	2043
46	100	2041
47	103	2048
48	104	2034
49	107	2044
50	109	2039
51	111	2036
52	113	2029
53	115	2026
54	117	2019
55	118	2001
56	121	2002
57	123	2003
58	125	1997
59	127	1992
60	128	1974
61	130	1975
62	133	1979
63	134	1973
64	136	1956
65	137	1940
66	139	1935
67	140	1930
68	144	1944
69	145	1937
70	148	1939
71	149	1931
72	151	1927
73	154	1933
74	155	1919
75	157	1914
76	159	1908
77	161	1905
78	162	1892
79	164	1888
80	167	1894
81	168	1882
82	170	1882
83	172	1880
84	174	1875
85	176	1872
86	177	1860
87	180	1865
88	181	1858
89	183	1860
90	185	1857
91	187	1854
92	190	1859
93	192	1856
94	194	1854
95	196	1852
96	198	1848
97	200	1849
98	203	1847
99	204	1843
100	206	1837
101	208	1833
102	210	1832
103	211	1823
104	213	1817
105	215	1814
106	216	1804
107	217	1795
108	219	1792
109	220	1783
110	221	1774
111	224	1777
112	225	1768
113	226	1759
114	227	1752
115	229	1749
116	232	1751
117	233	1747
118	235	1745
119	239	1752
120	240	1750
121	242	1746
122	244	1744
123	247	1745
124	248	1740
125	250	1736
126	252	1733
127	254	1733
128	257	1740
129	258	1733
130	260	1730
131	262	1729
132	264	1726
133	267	1726
134	269	1728
135	271	1726
136	272	1718
137	274	1712
138	275	1708
139	276	1701
140	278	1698
141	280	1695
142	283	1697
143	285	1697
144	287	1695
145	289	1692
146	291	1689
147	294	1694
148	296	1691
149	298	1689
150	300	1690
151	302	1687
152	304	1684
153	306	1682
154	308	1681
155	309	1674
156	310	1668
157	313	1669
158	314	1662
159	316	1660
160	319	1664
161	321	1665
162	323	1662
163	325	1660
164	326	1653
165	328	1648
166	330	1646
167	332	1644
168	333	1638
169	335	1637
170	338	1642
171	340	1638
172	342	1635
173	343	1632
174	345	1629
175	347	1627
176	351	1632
177	352	1630
178	354	1628
179	356	1625
180	358	1623
181	360	1620
182	362	1619
183	365	1619
184	367	1617
185	369	1617
186	370	1612
187	372	1610
188	374	1608
189	376	1604
190	378	1602
191	380	1599
192	383	1601
193	385	1599
194	386	1596
195	388	1594
196	390	1592
197	392	1590
198	394	1587
199	396	1585
200	398	1583
201	400	1581
202	402	1579
203	405	1580
204	406	1577
205	407	1572
206	410	1570
207	412	1569
208	415	1570
209	417	1569
210	419	1569
211	421	1567
212	423	1565
213	426	1565
214	428	1564
215	431	1566
216	434	1568
217	436	1566
218	439	1567
219	441	1565
220	443	1564
221	445	1561
222	447	1559
223	449	1556
224	451	1554
225	454	1555
226	455	1551
227	457	1549
228	459	1547
229	461	1544
230	463	1542
231	465	1539
232	466	1536
233	469	1536
234	471	1534
235	473	1534
236	475	1531
237	478	1531
238	480	1531
239	483	1530
240	485	1527
241	486	1525
242	489	1524
243	491	1522
244	493	1520
245	495	1518
246	497	1515
247	499	1515
248	501	1512
249	503	1510
250	506	1510
251	508	1508
252	510	1505
253	511	1503
254	513	1500
255	516	1500
256	518	1498
257	520	1498
258	522	1495
259	524	1493
260	526	1490
261	528	1488
262	530	1487
263	532	1485
264	535	1486
265	537	1483
266	539	1481
267	541	1479
268	543	1476
269	544	1473
270	546	1471
271	549	1472
272	552	1471
273	554	1469
274	556	1467
275	559	1466
276	561	1466
277	564	1465
278	566	1463
279	569	1464
280	572	1464
281	574	1463
282	576	1461
283	578	1458
284	581	1458
285	583	1457
286	585	1454
287	587	1453
288	589	1451
289	592	1450
290	594	1448
291	597	1447
292	599	1446
293	601	1445
294	603	1442
295	605	1440
296	608	1439
297	609	1436
298	611	1434
299	613	1431
300	615	1429
301	617	1426
302	620	1426
303	621	1424
304	623	1421
305	625	1418
306	627	1415
307	629	1413
308	631	1412
309	634	1411
310	635	1409
311	638	1407
312	640	1404
313	641	1402
314	644	1401
315	646	1399
316	648	1398
317	651	1397
318	654	1396
319	656	1394
320	658	1392
321	660	1391
322	662	1388
323	665	1387
324	666	1384
325	669	1383
326	670	1380
327	672	1377
328	674	1375
329	675	1372
330	677	1369
331	680	1369
332	682	1367
333	684	1365
334	686	1363
335	688	1361
336	691	1360
337	693	1358
338	695	1357
339	698	1356
340	700	1353
341	702	1351
342	704	1348
343	706	1346
344	708	1345
345	710	1342
346	713	1342
347	715	1340
348	716	1337
349	719	1335
350	721	1334
351	723	1332
352	725	1329
353	727	1327
354	729	1324
355	732	1324
356	734	1322
357	736	1320
358	739	1319
359	741	1318
360	743	1316
361	745	1313
362	747	1311
363	749	1309
364	751	1307
365	753	1304
366	754	1302
367	757	1300
368	759	1298
369	761	1296
370	763	1294
371	765	1291
372	766	1289
373	768	1286
374	771	1285
375	772	1282
376	775	1281
377	777	1279
378	779	1276
379	781	1274
380	783	1272
381	785	1271
382	787	1268
383	789	1266
384	791	1263
385	793	1261
386	795	1259
387	797	1257
388	799	1255
389	800	1252
390	803	1251
391	806	1250
392	808	1248
393	810	1246
394	811	1243
395	813	1241
396	816	1240
397	819	1238
398	820	1236
399	823	1234
400	825	1233
401	827	1231
402	830	1229
403	831	1227
404	833	1224
405	836	1223
406	837	1220
407	839	1218
408	841	1216
409	844	1215
410	846	1212
411	847	1209
412	849	1207
413	852	1206
414	854	1204
415	856	1202
416	858	1199
417	859	1197
418	861	1195
419	863	1192
420	865	1190
421	867	1188
422	869	1185
423	870	1183
424	872	1180
425	875	1179
426	877	1177
427	879	1175
428	881	1172
429	882	1169
430	884	1167
431	886	1165
432	888	1163
433	890	1161
434	892	1159
435	893	1156
436	895	1154
437	898	1153
438	900	1150
439	903	1149
440	905	1147
441	907	1145
442	909	1143
443	912	1142
444	914	1140
445	916	1138
446	919	1137
447	921	1135
448	923	1132
449	925	1130
450	927	1128
451	929	1126
452	931	1124
453	932	1121
454	935	1120
455	937	1118
456	939	1116
457	941	1114
458	943	1112
459	946	1110
460	948	1108
461	950	1107
462	952	1104
463	955	1103
464	957	1101
465	959	1099
466	961	1097
467	963	1095
468	965	1093
469	967	1091
470	969	1089
471	971	1087
472	974	1085
473	976	1084
474	979	1082
475	981	1080
476	983	1078
477	986	1076
478	988	1074
479	989	1072
480	991	1070
481	993	1068
482	995	1065
483	997	1063
484	999	1060
485	1000	1058
486	1002	1056
487	1004	1054
488	1006	1051
489	1008	1049
490	1010	1047
491	1012	1044
492	1013	1042
493	1016	1041
494	1018	1039
495	1020	1037
496	1022	1034
497	1024	1032
498	1026	1030
499	1028	1028
500	1030	1025
501	1031	1023
502	1033	1021
503	1035	1019
504	1037	1016
505	1039	1014
506	1040	1012
507	1042	1010
508	1044	1007
509	1046	1005
510	1047	1002
511	1049	1000
512	1051	998
513	1053	995
514	1054	993
515	1057	991
516	1059	989
517	1060	986
518	1062	984
519	1064	982
520	1066	980
521	1068	978
522	1071	977
523	1073	974
524	1075	972
525	1077	970
526	1078	968
527	1080	965
528	1082	963
529	1084	961
530	1086	959
531	1089	958
532	1091	956
533	1093	954
534	1095	952
535	1097	950
536	1099	947
537	1101	945
538	1103	943
539	1105	941
540	1107	939
541	1111	939
542	1113	936
543	1115	934
544	1116	932
545	1118	930
546	1121	928
547	1122	926
548	1125	924
549	1127	922
550	1129	920
551	1131	918
552	1133	916
553	1135	914
554	1137	912
555	1139	909
556	1141	907
557	1142	905
558	1144	903
559	1146	901
560	1149	899
561	1151	897
562	1153	895
563	1155	893
564	1157	891
565	1160	889
566	1162	887
567	1165	886
568	1167	884
569	1168	881
570	1171	879
571	1172	877
572	1174	875
573	1176	873
574	1178	871
575	1180	869
576	1182	867
577	1185	865
578	1187	863
579	1190	861
580	1191	859
581	1193	857
582	1195	855
583	1198	853
584	1199	851
585	1201	849
586	1203	846
587	1205	844
588	1207	842
589	1209	840
590	1210	838
591	1212	835
592	1215	833
593	1216	831
594	1218	829
595	1220	827
596	1221	824
597	1224	823
598	1226	820
599	1228	818
600	1230	816
601	1232	814
602	1234	812
603	1236	810
604	1238	808
605	1240	806
606	1242	804
607	1244	802
608	1246	800
609	1248	797
610	1249	795
611	1252	793
612	1253	791
613	1255	789
614	1256	786
615	1258	784
616	1260	782
617	1262	780
618	1264	778
619	1266	776
620	1268	773
621	1269	771
622	1271	769
623	1273	767
